household_id,person_weight,employed,age_centred,age_centred_squared,female,population_group,province,settlement_type,education_band,matric_plus,has_fixed_internet,has_mobile_internet,has_computer,any_home_internet,digital_access_score,smartphone_access,edu_digital_group,household_size,n_children_under15,elderly_in_household,dependency_ratio,female_x_children,other_member_matric
163101550000005001,809.674174309,Employed,7,49,0,Black African,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,1 or more per member,"Below matric, internet",1,0,0,0,0,No other working-age member
163101550000007501,925.989345717,Employed,4,16,1,Black African,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,1,0,0.5,1,No
163101550000010001,1015.75624247,Unemployed,1,1,1,Black African,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",3,1,0,0.5,1,No
163101550000010001,1015.75624247,Employed,9,81,0,Black African,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",3,1,0,0.5,0,Yes
163101550000012501,1222.78487939,Employed,-9,81,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",6,4,0,2,0,No
163101550000017501,1408.68554955,Employed,-8,64,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",6,3,0,1,0,Yes
163101550000017501,1408.68554955,Unemployed,-7,49,0,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",6,3,0,1,0,Yes
163101550000017501,1408.68554955,Employed,-10,100,1,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",6,3,0,1,3,Yes
163101550000022501,1037.23692101,Employed,-16,256,0,Black African,Western Cape,Non-metro urban,Primary (Grade R-7),0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",2,0,0,0,0,No
163102320000001701,1004.19466817,Employed,19,361,0,Coloured,Western Cape,Non-metro urban,Post-school certificate/diploma,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,0,0,0,0,Yes
163102320000001701,1004.19466817,Employed,-11,121,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,0,0,0,0,Yes
163102320000004901,910.410866002,Employed,14,196,0,Coloured,Western Cape,Non-metro urban,Post-school certificate/diploma,1,0,1,1,1,3,1 or more per member,"Matric+, internet",4,1,0,0.3333333333333333,0,Yes
163102350000002401,1286.56942442,Employed,-11,121,1,Black African,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",3,1,0,0.5,1,No
163102350000005301,695.535275368,Employed,14,196,1,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,1,1,4,1 or more per member,"Matric+, internet",4,1,0,0.3333333333333333,1,Yes
163102350000011101,1076.86399085,Employed,23,529,1,Coloured,Western Cape,Non-metro urban,Primary (Grade R-7),0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",3,1,0,0.5,1,No
163102350000011101,1076.86399085,Employed,-3,9,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",3,1,0,0.5,0,No
163102850000000401,686.689212065,Employed,23,529,0,Coloured,Western Cape,Non-metro urban,Primary (Grade R-7),0,1,1,0,1,3,Fewer than 1 per member,"Below matric, internet",4,0,1,0.3333333333333333,0,Yes
163102850000001101,1269.15557248,Employed,13,169,0,White,Western Cape,Non-metro urban,Post-school certificate/diploma,1,1,1,1,1,4,Fewer than 1 per member,"Matric+, internet",3,0,0,0,0,Yes
163102850000001101,1269.15557248,Employed,11,121,1,White,Western Cape,Non-metro urban,Post-school certificate/diploma,1,1,1,1,1,4,Fewer than 1 per member,"Matric+, internet",3,0,0,0,0,Yes
163102850000001101,1269.15557248,Employed,-16,256,1,White,Western Cape,Non-metro urban,Post-school certificate/diploma,1,1,1,1,1,4,Fewer than 1 per member,"Matric+, internet",3,0,0,0,0,Yes
